timestamp,trade_id,market,symbol,timeframe,side,action,result,exit_reason,bars_held,entry_price,trigger_price,pnl,pnl_pct,fee,balance,ghost
2025-10-03T15:10:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:10:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,4,120763.26015,121729.36623120001,0.0,-0.008,0.0,,True
2025-10-03T15:15:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:15:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,8,121192.53133,122162.07158064,0.0,-0.008,0.0,,True
2025-10-03T15:20:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:20:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,7,121312.99518,122283.49914144,0.0,-0.008,0.0,,True
2025-10-03T15:25:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:25:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,6,121211.02578,122180.71398623999,0.0,-0.008,0.0,,True
2025-10-03T15:30:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:30:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,6,121693.38103,122666.92807824,0.0,-0.008,0.0,,True
2025-10-03T15:35:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T15:35:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,7,121729.20780999999,123189.95830371999,0.0,0.012,0.0,,True
2025-10-03T15:40:00+00:00,BTCUSDT@5m-CONFLICT-2025-10-03T15:40:00+00:00,BTCUSDT@5m,BTCUSDT,5m,LONG,GHOST,WIN,TP,6,121706.50099999999,123166.979012,0.0,0.012,0.0,,True
2025-10-03T15:45:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:45:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,3,121713.37503,122687.08203024,0.0,-0.008,0.0,,True
2025-10-03T15:50:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:50:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,4,121979.99502000002,122955.83498016001,0.0,-0.008,0.0,,True
2025-10-03T15:55:00+00:00,BTCUSDT@5m-SHORT-2025-10-03T15:55:00+00:00,BTCUSDT@5m,BTCUSDT,5m,SHORT,GHOST,LOSS,SL,3,122201.82845,123179.44307760001,0.0,-0.008,0.0,,True
