funding_time,funding_time_ms,funding_rate,mark_price
2025-09-29T08:00:00.002000+00:00,1759132800002,0.00010000,105.99000000
2025-09-29T16:00:00.001000+00:00,1759161600001,0.00007355,106.32000000
2025-09-30T00:00:00.002000+00:00,1759190400002,0.00010000,106.72000000
2025-09-30T08:00:00.005000+00:00,1759219200005,0.00010000,105.79000000
2025-09-30T16:00:00+00:00,1759248000000,0.00003778,104.46000000
2025-10-01T00:00:00+00:00,1759276800000,0.00010000,106.83000000
2025-10-01T08:00:00+00:00,1759305600000,0.00007848,105.91000000
2025-10-01T16:00:00+00:00,1759334400000,0.00010000,111.28030392
2025-10-02T00:00:00+00:00,1759363200000,0.00010000,115.06000000
2025-10-02T08:00:00.013000+00:00,1759392000013,0.00010000,119.33922549
2025-10-02T16:00:00+00:00,1759420800000,0.00010000,118.77000000
2025-10-03T00:00:00.006000+00:00,1759449600006,0.00010000,119.50000000
2025-10-03T08:00:00.006000+00:00,1759478400006,0.00010000,116.41000000
2025-10-03T16:00:00+00:00,1759507200000,0.00008877,119.98000000
2025-10-04T00:00:00.001000+00:00,1759536000001,0.00010000,120.52000000
2025-10-04T08:00:00+00:00,1759564800000,0.00010000,118.47097363
2025-10-04T16:00:00+00:00,1759593600000,0.00008330,117.74000000
2025-10-05T00:00:00+00:00,1759622400000,0.00007059,120.42750980
2025-10-05T08:00:00.003000+00:00,1759651200003,0.00010000,122.06000000
2025-10-05T16:00:00.009000+00:00,1759680000009,0.00010000,119.76497059
2025-10-06T00:00:00.004000+00:00,1759708800004,0.00008977,118.77588235
2025-10-06T08:00:00.002000+00:00,1759737600002,0.00007555,119.83320588
2025-10-06T16:00:00.004000+00:00,1759766400004,0.00005508,120.51381373
2025-10-07T00:00:00+00:00,1759795200000,0.00004592,118.25000000
2025-10-07T08:00:00.003000+00:00,1759824000003,0.00007721,117.73125490
2025-10-07T16:00:00+00:00,1759852800000,0.00010000,116.09142157
2025-10-08T00:00:00+00:00,1759881600000,0.00005695,116.84000000
2025-10-08T08:00:00.006000+00:00,1759910400006,0.00010000,116.27000000
2025-10-08T16:00:00.002000+00:00,1759939200002,0.00010000,116.31000000
2025-10-09T00:00:00.001000+00:00,1759968000001,0.00009806,118.55000000
2025-10-09T08:00:00+00:00,1759996800000,0.00010000,117.28000000
2025-10-09T16:00:00+00:00,1760025600000,0.00004991,118.25950980
2025-10-10T00:00:00.005000+00:00,1760054400005,0.00010000,125.84000000
2025-10-10T08:00:00.002000+00:00,1760083200002,0.00010000,128.23228431
2025-10-10T16:00:00.014000+00:00,1760112000014,0.00010000,127.04175490
2025-10-11T00:00:00+00:00,1760140800000,0.00057432,96.78000000
2025-10-11T08:00:00.003000+00:00,1760169600003,-0.00000802,98.38000000
2025-10-11T16:00:00+00:00,1760198400000,0.00003329,95.98070588
2025-10-12T00:00:00.004000+00:00,1760227200004,-0.00004668,93.27985294
2025-10-12T08:00:00.002000+00:00,1760256000002,-0.00005636,95.25764706
2025-10-12T16:00:00+00:00,1760284800000,-0.00001282,98.13565686
2025-10-13T00:00:00.003000+00:00,1760313600003,0.00003797,98.89000000
