2025-11-25 19:39:45,340 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,343 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,346 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,349 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,352 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,355 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,357 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,360 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,364 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,367 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,371 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,374 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,377 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,379 | core.trading.stages.build_order | INFO | 📝 Order built | SHORT size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,382 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,386 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,389 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,392 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,398 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,402 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,405 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,409 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,412 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,415 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,418 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0100 (1.00% equity) | Margin: $35.66 | Position: $356.63 (10x)
2025-11-25 19:39:45,422 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:39:45,426 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:39:45,428 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:39:45,431 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
2025-11-25 19:39:45,434 | core.trading.stages.build_order | INFO | 📝 Order built | LONG size=0.0200 (2.00% equity) | Margin: $71.33 | Position: $713.25 (10x)
